,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
182679,177,Collplant Holdings ADR,CLGN,5.54,5.54,5.54,5.54,-0.04,-0.72,"1,000",9.34,5.22,...,...,...,-37.40,Wednesday,Wednesday,2018/04/25
182680,176,Collplant Holdings ADR,CLGN,5.7,5.7,5.7,5.7,0.16,2.89,"1,000",9.34,5.22,...,...,...,-35.59,Friday,Friday,2018/05/04
182681,187,Collplant Holdings ADR,CLGN,5.70,5.72,5.3,5.67,-0.03,-0.46,"2,450",9.34,5.22,...,...,...,-35.89,Monday,Monday,2018/05/07
182682,177,Collplant Holdings ADR,CLGN,5.6,5.6,5.60,5.6,-0.07,-1.30,"2,000",9.34,5.22,...,...,...,-36.72,Thursday,Thursday,2018/05/10
182683,182,Collplant Holdings ADR,CLGN,4.7,5.6,4.7,5.6,...,...,"2,320",9.34,4.70,...,...,...,-36.72,Friday,Friday,2018/05/11
182684,181,Collplant Holdings ADR,CLGN,5.7,5.7,5.7,5.7,0.10,1.79,600,9.34,4.70,...,...,...,-35.59,Tuesday,Tuesday,2018/05/15
182685,183,Collplant Holdings ADR,CLGN,5.8,5.8,5.8,5.8,0.10,1.75,500,9.34,4.70,...,...,...,-34.46,Tuesday,Tuesday,2018/05/22
182686,183,Collplant Holdings ADR,CLGN,5.65,5.69,5.4,5.69,-0.11,-1.90,360,9.34,4.70,...,...,...,-35.71,Thursday,Thursday,2018/05/24
182687,176,Collplant Holdings ADR,CLGN,5.8,5.8,5.5,5.5,-0.19,-3.34,"2,942",9.34,4.70,...,...,...,-37.85,Friday,Friday,2018/05/25
182688,174,Collplant Holdings ADR,CLGN,5.8,5.8,5.31,5.47,-0.03,-0.45,750,9.34,4.70,...,...,...,-38.14,Tuesday,Tuesday,2018/05/29
182689,181,Collplant Holdings ADR,CLGN,6.0,6.29,6.0,6.09,0.61,11.18,"1,520",9.34,4.70,...,...,...,-31.22,Thursday,Thursday,2018/05/31
182690,182,Collplant Holdings ADR,CLGN,6.26,6.28,6.26,6.28,0.19,3.15,405,9.34,4.70,...,...,...,-29.05,Friday,Friday,2018/06/01
182691,176,Collplant Holdings ADR,CLGN,6.51,7.4,6.01,6.50,0.22,3.52,"16,859",9.34,4.70,...,...,...,-26.55,Monday,Monday,2018/06/04
182692,177,Collplant Holdings ADR,CLGN,6.25,6.72,6.25,6.40,-0.10,-1.54,"6,749",9.34,4.70,...,...,...,-27.68,Tuesday,Tuesday,2018/06/05
182693,179,Collplant Holdings ADR,CLGN,6.3,6.35,6.04,6.06,-0.34,-5.31,"9,065",9.34,4.70,...,...,...,-31.53,Wednesday,Wednesday,2018/06/06
182694,182,Collplant Holdings ADR,CLGN,6.38,6.48,6.01,6.48,0.42,6.93,"8,205",9.34,4.7,...,...,...,-26.78,Thursday,Thursday,2018/06/07
182695,183,Collplant Holdings ADR,CLGN,6.1,6.1,5.5,5.7,-0.78,-12.04,"8,253",9.34,4.70,...,...,...,-35.59,Monday,Monday,2018/06/11
182696,179,Collplant Holdings ADR,CLGN,6.0,6.09,6.0,6.09,0.39,6.84,"8,725",9.34,4.7,...,...,...,-31.19,Tuesday,Tuesday,2018/06/12
182697,178,Collplant Holdings ADR,CLGN,6.05,6.05,5.91,5.91,-0.18,-2.96,"6,600",9.34,4.7,...,...,...,-33.22,Wednesday,Wednesday,2018/06/13
182698,181,Collplant Holdings ADR,CLGN,6.03,6.03,5.81,5.81,-0.10,-1.69,"5,000",9.34,4.7,...,...,...,-34.35,Thursday,Thursday,2018/06/14
182699,175,Collplant Holdings ADR,CLGN,5.75,5.75,5.65,5.65,-0.16,-2.75,"4,000",9.34,4.7,...,...,...,-36.16,Friday,Friday,2018/06/15
182700,177,Collplant Holdings ADR,CLGN,5.36,5.6,5.36,5.6,-0.05,-0.88,"4,000",9.34,4.7,...,...,...,-36.72,Monday,Monday,2018/06/18
182701,172,Collplant Holdings ADR,CLGN,5.5,5.5,5.5,5.5,-0.10,-1.79,"1,100",9.34,4.70,...,...,...,-37.85,Tuesday,Tuesday,2018/06/19
182702,175,Collplant Holdings ADR,CLGN,5.57,5.57,5.57,5.57,0.07,1.27,500,9.34,4.70,...,...,...,-37.06,Wednesday,Wednesday,2018/06/20
182703,173,Collplant Holdings ADR,CLGN,5.64,5.7,5.64,5.7,0.13,2.33,"1,450",9.34,4.70,...,...,...,-35.59,Thursday,Thursday,2018/06/21
182704,178,Collplant Holdings ADR,CLGN,5.7,5.7,5.7,5.7,...,...,300,9.34,4.7,...,...,...,-35.59,Friday,Friday,2018/06/22
182705,182,Collplant Holdings ADR,CLGN,5.7,5.89,5.7,5.8,0.10,1.75,"14,434",9.34,4.7,...,...,...,-34.46,Monday,Monday,2018/06/25
182706,189,Collplant Holdings ADR,CLGN,5.8,5.8,5.8,5.8,...,...,"1,348",9.34,4.7,...,...,...,-34.46,Tuesday,Tuesday,2018/06/26
182707,181,Collplant Holdings ADR,CLGN,5.98,6.02,5.98,6.02,0.22,3.79,682,9.34,4.70,...,...,...,-31.98,Thursday,Thursday,2018/06/28
182708,179,Collplant Holdings ADR,CLGN,5.95,6.0,5.95,5.97,-0.05,-0.83,500,9.34,4.70,...,...,...,-32.54,Friday,Friday,2018/06/29
182709,181,Collplant Holdings ADR,CLGN,5.4,5.88,5.27,5.7,-0.27,-4.52,"5,500",9.34,4.7,...,...,...,-35.59,Friday,Friday,2018/07/06
182710,176,Collplant Holdings ADR,CLGN,5.5,5.5,5.5,5.5,-0.20,-3.51,300,9.34,4.7,...,...,...,-37.85,Monday,Monday,2018/07/09
182711,180,Collplant Holdings ADR,CLGN,5.5,5.5,5.5,5.5,...,...,300,9.34,4.7,...,...,...,-37.85,Tuesday,Tuesday,2018/07/10
182712,177,Collplant Holdings ADR,CLGN,5.4,5.85,5.4,5.4,-0.10,-1.82,800,9.34,4.7,...,...,...,-38.98,Wednesday,Wednesday,2018/07/11
182713,181,Collplant Holdings ADR,CLGN,5.67,5.78,5.35,5.35,-0.05,-0.93,"5,725",9.34,4.7,...,...,...,-39.55,Thursday,Thursday,2018/07/12
