,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
480218,396,Kazia Therapeutics ADR,KZIA,5.86,5.94,5.54,5.61,0.02,0.36,"36,381",6.68,0.70,...,...,...,76.42,Thursday,Thursday,2018/03/29
480219,390,Kazia Therapeutics ADR,KZIA,5.55,5.72,5.45,5.71,0.02,0.41,"16,686",6.68,0.70,...,...,...,79.61,Wednesday,Wednesday,2018/04/11
480220,388,Kazia Therapeutics ADR,KZIA,5.75,5.75,5.5,5.54,-0.17,-2.98,"17,501",6.68,0.7,...,...,...,74.25,Thursday,Thursday,2018/04/12
480221,389,Kazia Therapeutics ADR,KZIA,5.37,5.78,5.35,5.44,-0.05,-0.91,"32,317",6.68,0.7,...,...,...,71.07,Tuesday,Tuesday,2018/04/17
480222,396,Kazia Therapeutics ADR,KZIA,5.55,5.64,5.32,5.49,0.05,0.92,"7,639",6.68,0.70,...,...,...,72.65,Wednesday,Wednesday,2018/04/18
480223,378,Kazia Therapeutics ADR,KZIA,5.42,5.48,5.31,5.42,-0.07,-1.20,"5,034",6.68,0.7,...,...,...,70.57,Thursday,Thursday,2018/04/19
480224,383,Kazia Therapeutics ADR,KZIA,5.36,5.5,5.02,5.36,-0.06,-1.18,"25,494",6.68,0.70,...,...,...,68.56,Friday,Friday,2018/04/20
480225,389,Kazia Therapeutics ADR,KZIA,5.15,5.72,5.08,5.38,0.38,7.60,"46,948",6.68,0.7,...,...,...,69.19,Tuesday,Tuesday,2018/04/24
480226,382,Kazia Therapeutics ADR,KZIA,5.32,5.4,5.01,5.12,-0.26,-4.75,"38,963",6.68,0.70,...,...,...,61.16,Wednesday,Wednesday,2018/04/25
480227,379,Kazia Therapeutics ADR,KZIA,5.5,5.61,5.06,5.06,-0.11,-2.16,"13,154",6.68,0.7,...,...,...,59.12,Friday,Friday,2018/04/27
480228,396,Kazia Therapeutics ADR,KZIA,5.29,5.29,5.17,5.25,0.19,3.75,"2,182",6.68,0.7,...,...,...,65.10,Monday,Monday,2018/04/30
480229,382,Kazia Therapeutics ADR,KZIA,5.32,5.32,5.2,5.2,-0.05,-0.94,"1,055",6.68,0.70,...,...,...,63.55,Tuesday,Tuesday,2018/05/01
480230,386,Kazia Therapeutics ADR,KZIA,5.37,5.4,5.23,5.4,0.16,3.05,"2,642",6.68,0.70,...,...,...,69.82,Thursday,Thursday,2018/05/03
