,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
200493,422,Columbia Sportswear,COLM,76.34,77.49,76.34,76.43,0.69,0.91,"264,048",79.38,51.56,0.88,1.15,51.30,6.33,Thursday,Thursday,2018/03/29
200494,415,Columbia Sportswear,COLM,80.7,83.13,80.63,82.01,1.32,1.64,"450,998",83.13,51.56,0.88,1.07,55.04,14.09,Wednesday,Wednesday,2018/04/11
200495,418,Columbia Sportswear,COLM,82.46,82.84,80.65,80.76,-1.25,-1.52,"344,140",83.13,51.56,0.88,1.09,54.20,12.35,Thursday,Thursday,2018/04/12
200496,417,Columbia Sportswear,COLM,80.33,81.1,80.24,80.57,0.71,0.89,"205,425",83.13,51.56,0.88,1.09,54.07,12.09,Tuesday,Tuesday,2018/04/17
200497,419,Columbia Sportswear,COLM,80.97,80.97,79.88,79.99,-0.58,-0.72,"93,425",83.13,51.56,0.88,1.10,53.68,11.28,Wednesday,Wednesday,2018/04/18
200498,419,Columbia Sportswear,COLM,79.92,80.16,79.3,79.93,-0.06,-0.08,"150,699",83.13,51.56,0.88,1.10,53.64,11.20,Thursday,Thursday,2018/04/19
200499,421,Columbia Sportswear,COLM,79.52,80.03,78.82,78.97,-0.96,-1.20,"209,938",83.13,51.56,0.88,1.11,53.00,9.86,Friday,Friday,2018/04/20
200500,417,Columbia Sportswear,COLM,80.8,81.07,79.54,79.81,-0.71,-0.88,"223,706",83.13,51.56,0.88,1.10,53.56,11.03,Tuesday,Tuesday,2018/04/24
200501,418,Columbia Sportswear,COLM,80.14,80.94,79.24,80.7,0.89,1.12,"283,129",83.13,51.56,0.88,1.09,54.16,12.27,Wednesday,Wednesday,2018/04/25
200502,414,Columbia Sportswear,COLM,86.0,87.97,83.7,84.51,2.42,2.95,"501,838",87.97,51.56,0.88,1.04,56.72,17.57,Friday,Friday,2018/04/27
200503,415,Columbia Sportswear,COLM,84.35,84.95,81.95,83.01,-1.50,-1.77,"436,928",87.97,51.56,0.88,1.06,51.24,15.48,Monday,Monday,2018/04/30
200504,412,Columbia Sportswear,COLM,82.28,82.98,80.91,82.82,-0.19,-0.23,"320,255",87.97,51.56,0.88,1.06,51.12,15.22,Tuesday,Tuesday,2018/05/01
200505,411,Columbia Sportswear,COLM,81.59,81.65,80.61,81.03,-1.19,-1.45,"335,459",87.97,51.56,0.88,1.09,50.02,12.73,Thursday,Thursday,2018/05/03
200506,415,Columbia Sportswear,COLM,80.83,81.16,79.96,81.08,0.05,0.06,"391,611",87.97,51.56,0.88,1.09,50.05,12.80,Friday,Friday,2018/05/04
200507,416,Columbia Sportswear,COLM,81.49,82.33,81.38,82.08,1.00,1.23,"273,020",87.97,51.56,0.88,1.07,50.67,14.19,Monday,Monday,2018/05/07
200508,421,Columbia Sportswear,COLM,81.87,83.0,81.82,82.43,0.35,0.43,"240,985",87.97,51.56,0.88,1.07,50.88,14.68,Tuesday,Tuesday,2018/05/08
200509,418,Columbia Sportswear,COLM,82.41,82.87,81.94,82.31,-0.12,-0.15,"270,157",87.97,51.56,0.88,1.07,50.81,14.51,Wednesday,Wednesday,2018/05/09
200510,416,Columbia Sportswear,COLM,82.41,82.97,81.98,82.38,0.07,0.09,"168,280",87.97,51.56,0.88,1.07,50.85,14.61,Thursday,Thursday,2018/05/10
200511,417,Columbia Sportswear,COLM,82.39,82.95,82.17,82.22,-0.16,-0.19,"178,745",87.97,51.56,0.88,1.07,50.75,14.39,Friday,Friday,2018/05/11
200512,419,Columbia Sportswear,COLM,82.39,82.77,82.1,82.52,0.30,0.36,"155,875",87.97,51.56,0.88,1.07,50.94,14.80,Monday,Monday,2018/05/14
200513,416,Columbia Sportswear,COLM,82.47,83.79,82.22,82.99,0.47,0.57,"168,942",87.97,51.56,0.88,1.06,51.23,15.46,Tuesday,Tuesday,2018/05/15
200514,419,Columbia Sportswear,COLM,83.16,85.24,83.16,84.79,2.02,2.44,"252,709",87.97,51.56,0.88,1.04,52.34,17.96,Wednesday,Wednesday,2018/05/16
200515,416,Columbia Sportswear,COLM,84.75,85.96,84.6,85.6,0.81,0.96,"301,841",87.97,51.56,0.88,1.03,52.84,19.09,Thursday,Thursday,2018/05/17
200516,418,Columbia Sportswear,COLM,85.51,85.86,84.52,85.72,0.12,0.14,"332,863",87.97,51.56,0.88,1.03,52.91,19.25,Friday,Friday,2018/05/18
200517,418,Columbia Sportswear,COLM,85.81,86.88,85.61,86.21,0.49,0.57,"294,665",87.97,52.00,0.88,1.02,53.22,19.94,Monday,Monday,2018/05/21
200518,418,Columbia Sportswear,COLM,86.42,86.42,85.45,85.66,-0.55,-0.64,"189,235",87.97,52.0,0.88,1.03,52.88,19.17,Tuesday,Tuesday,2018/05/22
200519,417,Columbia Sportswear,COLM,85.67,86.71,85.42,86.3,0.64,0.75,"293,847",87.97,52.51,0.88,1.02,53.27,20.06,Wednesday,Wednesday,2018/05/23
200520,418,Columbia Sportswear,COLM,86.31,87.3,86.0,87.1,0.80,0.93,"122,610",87.97,53.31,0.88,1.01,53.77,21.17,Thursday,Thursday,2018/05/24
200521,416,Columbia Sportswear,COLM,86.96,87.98,86.78,87.52,0.42,0.48,"168,018",87.98,53.39,0.88,1.01,54.02,21.76,Friday,Friday,2018/05/25
200522,414,Columbia Sportswear,COLM,87.36,88.86,87.06,88.46,0.94,1.07,"327,402",88.86,53.39,0.88,0.99,54.60,23.07,Tuesday,Tuesday,2018/05/29
200523,416,Columbia Sportswear,COLM,88.53,89.59,88.52,88.55,0.09,0.10,"241,962",89.59,53.58,0.88,0.99,54.66,23.19,Wednesday,Wednesday,2018/05/30
200524,413,Columbia Sportswear,COLM,88.27,88.89,87.01,87.11,-1.44,-1.63,"274,869",89.59,54.08,0.88,1.01,53.77,21.19,Thursday,Thursday,2018/05/31
200525,417,Columbia Sportswear,COLM,87.65,88.91,87.03,88.83,1.72,1.97,"190,822",89.59,54.54,0.88,0.99,54.83,23.58,Friday,Friday,2018/06/01
200526,416,Columbia Sportswear,COLM,89.19,89.79,88.83,89.42,0.59,0.66,"240,781",89.79,54.54,0.88,0.98,55.20,24.40,Monday,Monday,2018/06/04
