,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
606300,1375,Oaktree Capital Group,OAK,39.55,40.2,39.45,39.6,...,...,"315,355",48.5,39.35,3.04,7.68,10.94,-5.94,Thursday,Thursday,2018/03/29
606301,1367,Oaktree Capital Group,OAK,39.75,40.2,39.45,39.6,-0.25,-0.63,"181,640",48.50,38.80,3.04,7.68,10.94,-5.94,Wednesday,Wednesday,2018/04/11
606302,1371,Oaktree Capital Group,OAK,39.65,39.85,39.15,39.35,-0.25,-0.63,"146,037",48.50,38.80,3.04,7.73,10.87,-6.53,Thursday,Thursday,2018/04/12
606303,1362,Oaktree Capital Group,OAK,39.95,40.25,39.8,39.95,0.20,0.50,"152,248",48.50,38.80,3.04,7.61,11.04,-5.11,Tuesday,Tuesday,2018/04/17
606304,1366,Oaktree Capital Group,OAK,40.25,40.95,40.15,40.75,0.80,2.00,"518,779",48.5,38.8,3.04,7.46,11.26,-3.21,Wednesday,Wednesday,2018/04/18
606305,1371,Oaktree Capital Group,OAK,40.75,41.2,40.6,41.0,0.25,0.61,"318,598",48.50,38.80,3.04,7.41,11.33,-2.61,Thursday,Thursday,2018/04/19
606306,1362,Oaktree Capital Group,OAK,41.05,41.65,40.7,41.6,0.60,1.46,"313,155",48.50,38.80,3.04,7.31,11.49,-1.19,Friday,Friday,2018/04/20
606307,1368,Oaktree Capital Group,OAK,41.35,41.55,40.85,41.0,-0.25,-0.61,"190,432",48.50,38.80,3.04,7.41,11.33,-2.61,Tuesday,Tuesday,2018/04/24
606308,1372,Oaktree Capital Group,OAK,41.55,41.55,40.25,41.05,0.05,0.12,"329,595",48.5,38.80,3.04,7.41,11.34,-2.49,Wednesday,Wednesday,2018/04/25
606309,1368,Oaktree Capital Group,OAK,39.85,40.2,39.7,40.0,-0.45,-1.11,"409,768",48.50,38.80,3.04,7.60,11.05,-4.99,Friday,Friday,2018/04/27
606310,1367,Oaktree Capital Group,OAK,39.95,40.0,39.3,39.5,-0.50,-1.25,"340,984",48.50,38.80,3.84,9.72,11.19,-6.18,Monday,Monday,2018/04/30
606311,1379,Oaktree Capital Group,OAK,39.5,39.95,39.1,39.85,0.35,0.89,"219,396",48.50,38.80,3.84,9.64,11.29,-5.34,Tuesday,Tuesday,2018/05/01
606312,1368,Oaktree Capital Group,OAK,39.65,40.15,39.45,39.75,...,...,"452,435",48.50,38.80,3.84,9.66,11.26,-5.58,Thursday,Thursday,2018/05/03
606313,1370,Oaktree Capital Group,OAK,39.05,40.21,39.05,39.8,1.01,2.60,"427,399",48.5,38.80,3.84,9.65,11.27,-5.46,Friday,Friday,2018/05/04
606314,1375,Oaktree Capital Group,OAK,39.75,40.15,39.7,39.9,0.10,0.25,"277,075",48.5,38.80,3.84,9.62,11.30,-5.23,Monday,Monday,2018/05/07
606315,1366,Oaktree Capital Group,OAK,39.9,40.75,39.9,40.25,0.35,0.88,"442,344",48.5,38.8,3.84,9.54,11.40,-4.39,Tuesday,Tuesday,2018/05/08
606316,1378,Oaktree Capital Group,OAK,40.2,40.4,40.0,40.1,-0.15,-0.37,"418,047",48.5,38.80,3.84,9.58,11.36,-4.75,Wednesday,Wednesday,2018/05/09
606317,1374,Oaktree Capital Group,OAK,40.1,40.45,39.75,40.4,0.30,0.75,"342,537",48.50,38.80,3.84,9.50,11.44,-4.04,Thursday,Thursday,2018/05/10
606318,1372,Oaktree Capital Group,OAK,40.6,40.7,39.95,40.05,-0.35,-0.87,"214,950",48.50,38.80,3.84,9.59,11.35,-4.87,Friday,Friday,2018/05/11
606319,1375,Oaktree Capital Group,OAK,40.15,40.55,39.8,39.9,-0.15,-0.37,"205,647",48.5,38.80,3.84,9.62,11.30,-5.23,Monday,Monday,2018/05/14
606320,1375,Oaktree Capital Group,OAK,39.9,39.93,39.5,39.6,-0.30,-0.75,"178,561",48.5,38.80,3.84,9.70,11.22,-5.94,Tuesday,Tuesday,2018/05/15
606321,1377,Oaktree Capital Group,OAK,39.5,39.85,39.4,39.5,-0.10,-0.25,"320,135",48.50,38.80,3.84,9.72,11.19,-6.18,Wednesday,Wednesday,2018/05/16
606322,1375,Oaktree Capital Group,OAK,39.55,40.0,39.5,39.9,0.40,1.01,"181,458",48.50,38.80,3.84,9.62,11.30,-5.23,Thursday,Thursday,2018/05/17
606323,1376,Oaktree Capital Group,OAK,40.1,40.1,39.45,39.8,-0.10,-0.25,"185,658",48.5,38.80,3.84,9.65,11.27,-5.46,Friday,Friday,2018/05/18
606324,1377,Oaktree Capital Group,OAK,39.85,40.15,39.75,40.0,0.20,0.50,"159,179",48.50,38.80,3.84,9.60,11.33,-4.99,Monday,Monday,2018/05/21
606325,1372,Oaktree Capital Group,OAK,40.15,40.15,39.65,39.7,-0.30,-0.75,"200,354",48.5,38.80,3.84,9.67,11.25,-5.70,Tuesday,Tuesday,2018/05/22
606326,1375,Oaktree Capital Group,OAK,39.65,40.04,39.65,39.95,0.25,0.63,"204,357",48.50,38.80,3.84,9.61,11.32,-5.11,Wednesday,Wednesday,2018/05/23
606327,1378,Oaktree Capital Group,OAK,39.95,40.24,39.75,39.9,-0.05,-0.13,"247,567",48.50,38.80,3.84,9.62,11.30,-5.23,Thursday,Thursday,2018/05/24
606328,1380,Oaktree Capital Group,OAK,40.0,40.2,39.75,39.85,-0.05,-0.13,"183,078",48.50,38.80,3.84,9.64,11.29,-5.34,Friday,Friday,2018/05/25
606329,1379,Oaktree Capital Group,OAK,40.0,40.25,39.55,39.7,-0.15,-0.38,"298,516",48.50,38.80,3.84,9.67,11.25,-5.70,Tuesday,Tuesday,2018/05/29
606330,1381,Oaktree Capital Group,OAK,39.9,40.25,39.64,40.25,0.55,1.39,"166,329",48.5,38.80,3.84,9.54,11.40,-4.39,Wednesday,Wednesday,2018/05/30
606331,1378,Oaktree Capital Group,OAK,40.25,41.05,40.25,40.95,0.70,1.74,"305,440",48.50,38.80,3.84,9.38,11.60,-2.73,Thursday,Thursday,2018/05/31
606332,1381,Oaktree Capital Group,OAK,41.0,41.95,41.0,41.55,0.60,1.47,"261,088",48.50,38.80,3.84,9.24,11.77,-1.31,Friday,Friday,2018/06/01
606333,1374,Oaktree Capital Group,OAK,42.0,42.15,41.65,41.8,0.25,0.60,"198,550",48.5,38.8,3.84,9.19,11.84,-0.71,Monday,Monday,2018/06/04
606334,1373,Oaktree Capital Group,OAK,41.75,41.85,41.05,41.2,-0.60,-1.44,"252,370",48.50,38.80,3.84,9.32,11.67,-2.14,Tuesday,Tuesday,2018/06/05
606335,1379,Oaktree Capital Group,OAK,41.45,41.65,41.25,41.65,0.45,1.09,"129,882",48.5,38.80,3.84,9.22,11.80,-1.07,Wednesday,Wednesday,2018/06/06
606336,1377,Oaktree Capital Group,OAK,41.9,42.35,41.7,41.85,0.20,0.48,"234,737",48.5,38.80,3.84,9.18,11.86,-0.59,Thursday,Thursday,2018/06/07
606337,1371,Oaktree Capital Group,OAK,41.75,42.32,41.6,42.0,0.15,0.36,"196,939",48.50,38.80,3.84,9.14,11.90,-0.24,Friday,Friday,2018/06/08
606338,1378,Oaktree Capital Group,OAK,42.0,42.55,41.8,42.4,0.40,0.95,"181,134",48.50,38.80,3.84,9.06,12.01,0.71,Monday,Monday,2018/06/11
606339,1373,Oaktree Capital Group,OAK,42.5,42.5,41.5,41.65,-0.75,-1.77,"184,496",48.50,38.80,3.84,9.22,11.80,-1.07,Tuesday,Tuesday,2018/06/12
606340,1372,Oaktree Capital Group,OAK,41.7,41.85,41.3,41.45,-0.20,-0.48,"203,558",48.5,38.8,3.84,9.26,11.74,-1.54,Wednesday,Wednesday,2018/06/13
606341,1373,Oaktree Capital Group,OAK,41.35,41.58,41.25,41.5,0.05,0.12,"139,255",48.50,38.80,3.84,9.25,11.76,-1.43,Thursday,Thursday,2018/06/14
